happy_quotes,sad_quotes
"Happiness is not something ready-made. It comes from your own actions. - Dalai Lama","The walls we build around us to keep sadness out also keeps out the joy. - Jim Rohn"
"The purpose of our lives is to be happy. - Dalai Lama","Every man has his secret sorrows which the world knows not; and often times we call a man cold when he is only sad. - Henry Wadsworth Longfellow"
"Happiness is a warm puppy. - Charles M. Schulz","Tears come from the heart and not from the brain. - Leonardo da Vinci"
"The best way to cheer yourself is to try to cheer someone else up. - Mark Twain","Heavy hearts.. like heavy clouds in the sky.. are best relieved by the letting of a little water. - Christopher Morley"
"Count your age by friends.. not years. Count your life by smiles.. not tears. - John Lennon","It's sad when someone you know becomes someone you knew. - Henry Rollins"
"Happiness is the secret to all beauty. There is no beauty without happiness. - Christian Dior","Sadness flies away on the wings of time. - Jean de La Fontaine"
"Happiness depends upon ourselves. - Aristotle","The word 'happiness' would lose its meaning if it were not balanced by sadness. - Carl Jung"
"The only way to find true happiness is to risk being completely cut open. - Chuck Palahniuk","Sadness is but a wall between two gardens. - Khalil Gibran"
"For every minute you are angry you lose sixty seconds of happiness. - Ralph Waldo Emerson","There is no greater sorrow than to recall in misery the time when we were happy. - Dante Alighieri"
"Happiness is not a goal; it is a by-product. - Eleanor Roosevelt","Sadness is almost never anything but a form of fatigue. - André Gide"
"The happiest people don't have the best of everything.. they just make the best of everything. - Unknown","Sorrow is one of the vibrations that prove the fact of living. - Antoine de Saint-Exupéry"
"Happiness is the art of never holding in your mind the memory of any unpleasant thing that has passed. - Unknown","When you are sorrowful look again in your heart.. and you shall see that in truth you are weeping for that which has been your delight. - Khalil Gibran"
"The more you praise and celebrate your life.. the more there is in life to celebrate. - Oprah Winfrey","Sad things happen. They do. But we don't need to live sad forever. - Mattie Stepanek"
"Think of all the beauty still left around you and be happy. - Anne Frank","The word 'happy' would lose its meaning if it were not balanced by sadness. - Carl Jung"
"Let us be grateful to people who make us happy.. they are the charming gardeners who make our souls blossom. - Marcel Proust","It's amazing how someone can break your heart and you can still love them with all the little pieces. - Ella Harper"
"Happiness is a choice. - Barry Kaufman","Sadness usually results from one of the following causes: either when a man does not succeed.. or is ashamed of his success. - Seneca"
"Start each day with a positive thought and a grateful heart. - Roy T. Bennett","Sadness is but a wall between two gardens. - Khalil Gibran"
"Happiness is not something you postpone for the future; it is something you design for the present. - Jim Rohn","The tragedy of life is not that it ends so soon.. but that we wait so long to begin it. - W. M. Lewis"
"Be happy with what you have. Be excited about what you want. - Alan Cohen","The walls we build around us to keep sadness out also keeps out the joy. - Jim Rohn"
"Success is not the key to happiness. Happiness is the key to success. If you love what you are doing.. you will be successful. - Albert Schweitzer","The word 'happiness' would lose its meaning if it were not balanced by sadness. - Carl Jung"
"Be happy for this moment. This moment is your life. - Omar Khayyam","Sadness is nothing more than the absence of happiness in the same way that darkness is nothing more than the absence of light.  Daniel Willey"
"Be so happy that when others look at you.. they become happy too. - Unknown","Sadness is also a kind of defence. - Ivo Andrić"
"Success is getting what you want.. happiness is wanting what you get. - W. P. Kinsella","You cannot protect yourself from sadness without protecting yourself from happiness. -Jonathan Safran Foer"
"Happiness is a direction.. not a place. - Sydney J. Harris","Grief is not as heavy as guilt.. but it takes more away from you. - Veronica Roth"
